Clusters populated to vertex count of: 76268
Clusters: [0=[20000000, 25330], 1=[20000000, 25574], 2=[20000000, 25364]]
Running test queries
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 76268, Max degree: 1251, Avg. degree: 23,28
Successfully added the log graph schema
Loading the log to graph
Edges added: 1256422
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Edges overall: 2403874
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Staring Vaquero partitioning - cF=0,990, iF=1,000, nClusters=3, aProb=0,50
Clusters INIT Lower Bound: [0=-92, 1=151, 2=-58]
Cooling factor: 0,990
It.		Temp		tRatio		Impr.		pSwitch		Good		Cross		Sum		sCount		Time
151		0,443		0,22		0,659		0,61		1185506		348770		1534276		49907		17,79s
152		0,438		0,22		0,659		0,61		1185666		348610		1534276		49909		23,35s
153		0,434		0,22		0,659		0,61		1185729		348547		1534276		49909		17,61s
154		0,430		0,21		0,660		0,61		1185793		348483		1534276		49912		21,26s
155		0,425		0,21		0,660		0,61		1185999		348277		1534276		49911		18,00s
156		0,421		0,21		0,660		0,61		1186059		348217		1534276		49914		20,93s
157		0,417		0,21		0,660		0,60		1186299		347977		1534276		49912		18,92s
158		0,413		0,21		0,660		0,60		1186516		347760		1534276		49912		20,98s
159		0,409		0,20		0,661		0,60		1187019		347257		1534276		49910		18,34s
160		0,405		0,20		0,661		0,60		1187071		347205		1534276		49910		23,05s
161		0,401		0,20		0,661		0,60		1187114		347162		1534276		49912		17,54s
162		0,397		0,20		0,661		0,60		1187203		347073		1534276		49913		21,56s
163		0,393		0,20		0,661		0,60		1187205		347071		1534276		49914		17,73s
164		0,389		0,19		0,661		0,60		1187206		347070		1534276		49916		23,81s
165		0,385		0,19		0,661		0,60		1187442		346834		1534276		49915		18,24s
166		0,381		0,19		0,661		0,60		1187483		346793		1534276		49915		22,20s
167		0,377		0,19		0,661		0,59		1187503		346773		1534276		49915		18,24s
168		0,373		0,19		0,661		0,59		1187681		346595		1534276		49917		23,80s
169		0,370		0,18		0,661		0,59		1187683		346593		1534276		49918		18,29s
170		0,366		0,18		0,662		0,59		1187899		346377		1534276		49918		21,27s
171		0,362		0,18		0,662		0,59		1187900		346376		1534276		49919		19,03s
172		0,359		0,18		0,662		0,59		1187919		346357		1534276		49921		21,64s
173		0,355		0,18		0,662		0,59		1188127		346149		1534276		49920		19,10s
174		0,351		0,18		0,662		0,59		1188226		346050		1534276		49922		22,83s
175		0,348		0,17		0,662		0,59		1188277		345999		1534276		49920		18,02s
176		0,344		0,17		0,662		0,59		1188324		345952		1534276		49920		22,83s
177		0,341		0,17		0,662		0,59		1188325		345951		1534276		49921		18,47s
178		0,338		0,17		0,662		0,58		1188327		345949		1534276		49922		21,44s
179		0,334		0,17		0,662		0,58		1188347		345929		1534276		49920		18,29s
180		0,331		0,17		0,662		0,58		1188413		345863		1534276		49918		23,31s
